Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link,Specific Location
257633,barcelona,Room,From 16 July,410,some bills included,Rooms for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/257633,Barcelona
967843,barcelona,Room,From 8 July,700,bills included,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/967843,Barcelona
782458,barcelona,Apartment,From 1 July,1730,some bills included,3-bedroom apartment - Horta Guinardo Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/782458,Horta
263512,barcelona,Room,From 1 July,600,bills included,Cosy room for rent 9-bedroom apartment Prat de LLobregat,https://www.spotahome.com/barcelona/for-rent:rooms/263512,Prat de
263514,barcelona,Room,From 1 July,600,bills included,Snug room for rent 9-bedroom apartment Prat de LLobregat,https://www.spotahome.com/barcelona/for-rent:rooms/263514,Prat de
263515,barcelona,Room,From 1 July,600,bills included,Snug room for rent 9-bedroom apartment Prat de LLobregat,https://www.spotahome.com/barcelona/for-rent:rooms/263515,Prat de
915917,barcelona,Room,From 3 July,749,instant booking,Rooms for rent in a 7-Bedrooms apartment in Barcelona!,https://www.spotahome.com/barcelona/for-rent:rooms/915917,Barcelona
1181510,barcelona,Room,From 1 July,850,bills included,Room for rent in shared 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1181510,Barcelona
983977,barcelona,Room,From 6 June,850,bills included,Room for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/983977,Barcelona
922999,barcelona,Studio,From 6 June,1590,bills included,Studio apartment for rent in Poblenou Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/922999,Poblenou
224787,barcelona,Room,From 16 July,480,bills included,Rooms for rent in 5-bedroom apartment in El Raval Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/224787,El Raval
1073485,barcelona,Apartment,From 1 July,1200,bills included,1-bedroom apartment for rent in Barri Gòtic Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1073485, Gòtic
267740,barcelona,Room,From 1 July,990,bills included,Room to rent in 7-bedroom apartment Eixample Dreta,https://www.spotahome.com/barcelona/for-rent:rooms/267740,Eixample Dreta
1001302,barcelona,Apartment,From 3 June,2600,no deposit,Modernly Furnished Condo In The Heart of Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1001302,Barcelona
1172534,barcelona,Room,From 4 July,951,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1172534,Barcelona
988105,barcelona,Room,From 1 July,620,instant booking,Room for rent in 10-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/988105,Barcelona
852440,barcelona,Studio,From 2 March,1425,bills included,Studio apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/852440,Barcelona
564946,barcelona,Room,From 9 July,649,instant booking,Rooms for rent in 8-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/564946,Barcelona
967842,barcelona,Room,From 1 July,700,bills included,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/967842,Barcelona
592466,barcelona,Room,From 30 June,750,instant booking,Room in coliving building next to La Rambla,https://www.spotahome.com/barcelona/for-rent:rooms/592466,La Rambla
1175758,barcelona,Apartment,From 12 April,3905-4389,no deposit,3-bedroom apartment for rent in Barcelona Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1175758,Barcelona
1183020,barcelona,Apartment,From 6 April,5649-7101,no deposit,3-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1183020,Barcelona
651712,barcelona,Studio,From 1 July,1500,bills included,Stylish studio for rent in Sants Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/651712,Sants
966574,barcelona,Room,From 6 July,750,bills included,Room for rent in 7-bedroom apartment in Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/966574,Eixample
1166145,barcelona,Apartment,From 2 March,2450,some bills included,Spectaculaire maison meublée dans les quartiers chics de Barcelone,https://www.spotahome.com/barcelona/for-rent:apartments/1166145,de
122988,barcelona,Room,From 2 July,560-715,bills included,Nice room shared apartment Sarrià-Sant Gervasi Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/122988,Sarrià-Sant Gervasi
970667,barcelona,Room,From 1 July,580,instant booking,Room for rent in 2-bedroom apartment in Badalona Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/970667,Badalona
601329,barcelona,Room,From 1 July,795,instant booking,Room with terrace in Gothic Quarter,https://www.spotahome.com/barcelona/for-rent:rooms/601329,Gothic Quarter
568876,barcelona,Apartment,From 16 April,4928-5594,no deposit,Whole 2 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/568876,Barcelona
429501,barcelona,Apartment,From 4 July,1650,some bills included,Whole 3 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/429501,Barcelona
973199,barcelona,Room,From 1 August,525,instant booking,Room for rent in 8-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/973199,Barcelona
92909,barcelona,Room,From 4 July,590,bills included,Equipped room in 5-bedroom apartment in El Raval Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/92909,El Raval
935480,barcelona,Room,From 31 July,465,instant booking,Room for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/935480,Barcelona
988114,barcelona,Room,From 30 June,680,instant booking,Room for rent in 10-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/988114,Barcelona
205052,barcelona,Room,From 3 July,699,instant booking,Rooms for rente ina 2-bedroom apartment in  Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/205052,Barcelona
205054,barcelona,Room,From 3 July,699,instant booking,Rooms for rent in a  2-Bedrooms apartment in L'Hospitalet,https://www.spotahome.com/barcelona/for-rent:rooms/205054,L'Hospitalet
640771,barcelona,Room,From 10 June,665-850,bills included,Bedroom in 4-bedroom share in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/640771,Barcelona
136881,barcelona,Room,From 16 July,650,bills included,Relaxing room in shared apartment in Barri Gòtic Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/136881, Gòtic
329744,barcelona,Room,From 2 July,700,some bills included,Nice room to rent in 5-bedroom apartment,https://www.spotahome.com/barcelona/for-rent:rooms/329744,Barcelona
329743,barcelona,Room,From 2 July,700,some bills included,Chic room to rent in 5-bedroom apartment,https://www.spotahome.com/barcelona/for-rent:rooms/329743,Barcelona
1013702,barcelona,Room,From 8 July,665,some bills included,Room for rent in 6-bedroom apartment in Gràcia Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1013702,Gràcia
1009564,barcelona,Apartment,From 23 April,2300,no deposit,Stylish Apartment In The Heart of Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1009564,Barcelona
577509,barcelona,Room,From 19 June,800,instant booking,Live the coliving experience in the heart of Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/577509,Barcelona
