Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link
943941,barcelona,Room,From 7 March,750,some bills included,"Room for rent in 4-bedroom apartment in Navas, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/943941
943939,barcelona,Room,From 7 March,750,some bills included,"Room for rent in 4-bedroom apartment in Navas, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/943939
1199281,barcelona,Room,From 5 March,832,bills included,Furnished Bedroom in Barcelona - Bedroom number 8,https://www.spotahome.com/barcelona/for-rent:rooms/1199281
754628,barcelona,Room,From 7 March,750,bills included,Rooms for rent in 4-bedroom apartment in El Raval,https://www.spotahome.com/barcelona/for-rent:rooms/754628
651779,barcelona,Apartment,From 7 March,2500-3900,bills included,3-bedroom apartment for rent in Badalona,https://www.spotahome.com/barcelona/for-rent:apartments/651779
1013104,barcelona,Room,From 3 March,959,bills included,"Room for rent in 7-bedroom apartment in Eixample, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/1013104
340909,barcelona,Apartment,From 5 March,1250,some bills included,Cozy 1-bedroom apartment with AC in Sants - Students Only,https://www.spotahome.com/barcelona/for-rent:apartments/340909
573716,barcelona,Room,From 2 March,690,bills included,"Rooms for rent in 25-bedroom house in Bellaterra, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/573716
932382,barcelona,Studio,From 2 April,1100,bills included,"Studio apartment for rent in Gothic Quarter, Barcelona",https://www.spotahome.com/barcelona/for-rent:studios/932382
1220843,barcelona,Apartment,From 5 March,1390,some bills included,"Modern fully furnished apartment steps from ""Collblanc"" station.",https://www.spotahome.com/barcelona/for-rent:apartments/1220843
1001153,barcelona,Apartment,From 7 April,2500,no deposit,"2-bedroom apartment for rent in El Barri Gotic, Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/1001153
1199278,barcelona,Room,From 3 May,523,bills included,Furnished Bedroom in Barcelona - Bedroom number 5,https://www.spotahome.com/barcelona/for-rent:rooms/1199278
961241,barcelona,Room,From 2 March,800,instant booking,"Room for rent in 3-bedroom apartment in Porta, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/961241
1212723,barcelona,Room,From 2 March,800,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1212723
1202209,barcelona,Apartment,From 2 March,1890,some bills included,Wonderful apartment in Carrer de Balmes,https://www.spotahome.com/barcelona/for-rent:apartments/1202209
1020052,barcelona,Room,From 29 March,750,no deposit,Room for rent in 13-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1020052
1077568,barcelona,Room,From 2 March,590,spotahome plus,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1077568
766901,barcelona,Room,From 2 March,890,some bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/766901
291435,barcelona,Studio,From 31 March,950-2100,instant booking,"Cool studio flat for rent in El Raval, Barcelona",https://www.spotahome.com/barcelona/for-rent:studios/291435
769867,barcelona,Room,From 7 March,750,bills included,Room for rent in 12-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/769867
769873,barcelona,Room,From 7 March,750,bills included,Room for rent in 12-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/769873
875715,barcelona,Room,From 6 April,490,some bills included,Rooms for rent in 4-bedroom apartment in La Bordeta,https://www.spotahome.com/barcelona/for-rent:rooms/875715
666392,barcelona,Apartment,From 2 March,1590,some bills included,Spacious furnished and equipped apartment with exterior views in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/666392
86484,barcelona,Room,From 1 May,590,bills included,"Big room in 4-bedroom apartment in Eixample, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/86484
982715,barcelona,Room,From 2 April,1080,bills included,Room for rent in a 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/982715
326480,barcelona,Room,From 1 April,695,instant booking,Room for rent 7-bedroom apartment L'Esquerra de l'Eixample,https://www.spotahome.com/barcelona/for-rent:rooms/326480
433509,barcelona,Apartment,From 10 April,1425,bills included,Whole 1 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/433509
355150,barcelona,Room,From 2 March,850,bills included,"Furnished room in 3-bedroom apartment in Gràcia, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/355150
153516,barcelona,Room,From 2 March,545,instant booking,"Tidy room in 5-bedroom apartment in Les Corts, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/153516
