Reference Number;Bedrooms;Bathrooms;Area
650167;1;1;80
127987;6;4;160
931844;8;2;140
124462;2;2;110
1089741;6;2;120
952843;8;133;No info
1014842;1;40;No info
1007849;5;2;No info
936155;4;3;130
84403;5;2;No info
337400;No info;No info;No info
577222;8;3;250
624009;5;2;80
1196104;1;No info;No info
207726;2;2;58
213409;5;1;105
1085595;3;2;60
1169111;2;2;67
309517;5;2;120
985254;5;2;100
985255;5;2;100
1020049;13;5;350
999587;5;No info;No info
1014450;3;1;75
305082;4;1;50
929412;4;2;No info
1205900;3;1;75
754776;3;1;100
954089;2;1;No info
346844;5;2;115
915923;7;3;136
1088851;7;2;150
1011893;4;2;160
1071633;3;No info;No info
977172;3;2;97
305086;6;3;120
92360;2;1;115
372780;14;3;320
950987;6;2;140
637597;1;1;80
1016297;8;3;192
1196121;1;No info;No info
601297;6;2;75
1073233;4;2;100
990493;1;40;No info
651885;1;40;No info
1065328;1;50;No info
291436;1;25;No info
305087;6;3;120
1022782;1;1;50
300487;1;20;No info
952268;5;1;65
276120;2;1;50
592490;4;No info;No info
979689;2;1;60
974311;4;2;No info
974310;4;2;No info
1013052;8;No info;No info
929870;9;2;No info
651154;2;1;65
1090918;5;2;No info
601185;9;3;167
760930;3;2;80
952450;5;101;No info
932280;3;1;85
954981;4;1;90
213841;3;1;100
301718;1;25;No info
949538;1;45;No info
345087;5;2;90
280270;3;No info;No info
943940;4;1;140
459914;5;4;75
1090919;5;2;No info
162156;5;2;No info
1006334;7;No info;No info
100798;3;2;140
1004225;3;1;80
677064;2;No info;No info
372174;5;2;80
204967;7;1;No info
291648;2;1;50
122984;8;2;189
986413;1;50;No info
1051926;3;1;No info
1051925;3;1;No info
1051927;3;1;No info
1020055;13;5;350
918309;2;1;60
1190801;5;2;142
994859;11;No info;No info
1014449;3;1;75
947705;10;4;No info
947704;10;4;No info
84382;5;1;No info
100725;2;1;No info
568258;3;1;76
601316;6;2;75
255902;3;1;No info
865279;5;3;100
1013051;8;No info;No info
440194;3;1;70
1021536;1;32;No info
592719;3;1;70
128485;4;2;75
1069340;3;2;65
970042;8;4;No info
955713;4;1;55
575018;1;26;No info
918416;4;1;90
917849;6;2;No info
1014257;4;2;80
573717;20;15;1000
973203;8;3;No info
131474;6;2;No info
611050;2;2;100
995479;3;1;No info
1185484;6;2;95
270802;3;1;60
270795;3;1;60
1070218;2;1;No info
607361;18;5;460
95339;9;2;230
999828;4;2;No info
1022269;3;1;80
961605;2;1;98
1089862;2;1;75
787047;4;1;90
401628;4;2;100
952752;6;130;No info
444482;2;1;50
929403;6;2;No info
973249;5;No info;No info
302694;7;4;195
1021921;3;No info;No info
830546;2;1;75
1014869;8;3;280
1196194;1;No info;No info
1194875;3;No info;No info
1091469;6;1;100
228038;2;2;110
213407;5;1;105
1003962;7;2;No info
378084;1;45;No info
1196210;1;No info;No info
929549;7;3;No info
623117;3;2;No info
917058;2;1;60
229446;6;2;107
305085;6;3;120
86485;4;2;110
1003489;2;1;80
1007682;1;1;50
621534;1;1;No info
975433;1;46;No info
296118;4;1;102
201540;1;16;No info
777444;4;80;No info
1007789;2;1;No info
952907;6;123;No info
952265;4;1;77
1016326;3;2;150
683891;1;No info;No info
601855;3;1;80
990665;3;1;85
968966;5;2;No info
962851;7;No info;No info
1195903;4;1;100
122985;8;2;189
935192;4;2;117
132366;2;1;70
118256;18;5;460
281770;4;1;80
281363;4;1;80
973201;8;3;No info
144684;4;2;100
958163;1;1;No info
952906;6;123;No info
994627;2;2;70
137742;3;2;88
206397;1;1;60
166588;5;2;130
474143;2;1;50
953462;4;1;No info
989038;2;1;82
460772;2;1;35
1007839;6;No info;No info
1004039;2;No info;No info
372177;5;2;80
559803;1;1;60
815864;2;1;60
676777;1;1;No info
932278;3;1;85
136880;6;1;210
1014908;3;1;500
126685;4;1;80
1217754;5;1;4
1003978;7;2;No info
1013056;8;No info;No info
925033;10;3;210
1091445;6;2;130
592718;3;1;70
973255;1;40;No info
1082740;3;1;16
915921;7;3;136
106725;1;40;No info
90787;5;1;100
927789;5;2;No info
782383;12;1;588
639148;6;2;No info
135624;8;3;200
1185486;6;2;95
977069;4;1;120
305347;7;4;195
400766;11;2;180
317450;2;2;90
512467;7;2;190
118238;3;1;85
973240;6;No info;No info
1064255;2;2;65
100799;3;2;140
577223;8;3;250
604009;70;No info;No info
134151;4;1;99
1006332;7;No info;No info
1006333;7;No info;No info
121958;2;1;45
218410;5;1;90
229443;6;2;107
1187888;4;1;70
396062;5;1;85
202894;5;2;104
726328;2;1;No info
283084;3;1;90
1198335;3;1;112
155485;7;2;150
1004026;2;1;No info
280117;3;1;85
606793;3;No info;No info
1052419;3;2;140
759603;7;5;No info
929445;4;1;No info
953630;4;2;No info
120222;10;4;360
201537;1;16;No info
295379;5;2;No info
1205504;4;4;28
1205503;4;4;28
1205505;4;4;28
372794;8;2;150
602412;8;3;170
267745;6;160;No info
350885;5;2;90
115128;4;1;75
1196129;1;No info;No info
762492;5;2;No info
268881;1;25;No info
409056;4;1;No info
212840;6;2;165
977408;5;2;No info
212836;6;2;165
212841;6;2;165
212837;6;2;165
929875;9;2;No info
952912;8;127;No info
952911;8;127;No info
233485;4;1;75
1179001;2;2;95
1069716;4;No info;No info
952844;8;133;No info
1089073;3;1;60
1176652;2;2;95
599384;1;1;90
933596;1;23;No info
633182;7;No info;No info
263057;1;20;No info
215709;7;1;140
372120;1;20;No info
1205765;2;2;No info
431957;2;1;60
1052421;3;2;140
397756;4;2;130
972214;6;2;No info
1085956;2;2;76
1088836;6;2;100
1196119;1;No info;No info
1196127;1;No info;No info
204966;7;1;No info
983919;1;No info;No info
782381;12;1;588
952750;6;130;No info
1001061;4;2;100
459912;5;4;75
1205898;3;1;75
400771;11;2;180
962172;4;2;120
917850;6;2;No info
768486;6;3;196
406873;2;1;58
126985;8;2;180
929405;6;2;No info
875707;4;No info;No info
931874;6;No info;No info
1196254;1;No info;No info
1196258;1;No info;No info
1020046;13;5;350
724418;2;1;60
913009;2;1;65
268557;1;1;47
392364;5;3;No info
1196227;2;No info;No info
999300;2;2;85
1009682;2;No info;No info
927707;9;No info;No info
937218;2;1;45
433935;1;65;No info
455277;1;28;No info
418013;4;1;No info
95791;1;25;No info
925032;10;3;210
296417;5;3;150
1163804;4;1;75
151173;7;2;132
759976;3;1;77
948426;2;1;No info
423975;1;35;No info
368175;2;2;60
229675;5;3;100
1015471;4;2;140
289272;2;1;No info
289275;2;2;No info
296117;4;1;102
994292;5;2;No info
1196218;2;No info;No info
305652;7;1;161
622404;2;1;No info
206859;3;1;100
290624;1;No info;No info
372792;8;2;150
1190807;5;No info;No info
935582;6;2;102
638212;2;2;70
101653;1;1;90
973064;6;2;No info
994796;7;No info;No info
601109;4;2;No info
123428;3;2;85
1196260;1;No info;No info
927703;9;No info;No info
1091454;8;3;170
766040;8;3;190
146469;9;2;120
625070;2;1;No info
808514;1;No info;No info
971710;5;1;140
1190803;5;2;142
1186757;3;2;96
972596;7;2;No info
